,attributes,business_id,categories,city,hours,latitude,longitude,open,review_count,stars,categories_Fastfood,categories_Sandwiches,categories_Pizza,categories_Vegetarian,categories_Barbeque,categories_Tex-Mex,Automotive,categories_Restaurants,categories_CoffeeTea,categories_American_Traditional,categories_Steakhouses,categories_Thai,categories_American_New,categories_ChickenWings,categories_Chinese,categories_Japanese,categories_Empanadas,categories_Italian,categories_Salad,attributes.AcceptsCreditCards,attributes.AcceptsInsurance,attributes.Alcohol,attributes.Ambience.casual,attributes.Ambience.classy,attributes.Ambience.divey,attributes.Ambience.hipster,attributes.Ambience.intimate,attributes.Ambience.romantic,attributes.Ambience.touristy,attributes.Ambience.trendy,attributes.Attire,attributes.BYOB,attributes.BYOB/Corkage,attributes.ByAppointmentOnly,attributes.Caters,attributes.CoatCheck,attributes.Corkage,attributes.Delivery,attributes.DietaryRestrictions.dairyfree,attributes.DietaryRestrictions.glutenfree,attributes.DietaryRestrictions.halal,attributes.DietaryRestrictions.kosher,attributes.DietaryRestrictions.soyfree,attributes.DietaryRestrictions.vegan,attributes.DietaryRestrictions.vegetarian,attributes.DogsAllowed,attributes.DriveThru,attributes.GoodFor.breakfast,attributes.GoodFor.brunch,attributes.GoodFor.dessert,attributes.GoodFor.dinner,attributes.GoodFor.latenight,attributes.GoodFor.lunch,attributes.GoodForDancing,attributes.GoodForGroups,attributes.GoodForKids,attributes.HairTypesSpecializedIn.africanamerican,attributes.HairTypesSpecializedIn.asian,attributes.HairTypesSpecializedIn.coloring,attributes.HairTypesSpecializedIn.curly,attributes.HairTypesSpecializedIn.extensions,attributes.HairTypesSpecializedIn.kids,attributes.HairTypesSpecializedIn.perms,attributes.HairTypesSpecializedIn.straightperms,attributes.HappyHour,attributes.HasTV,attributes.Music.background_music,attributes.Music.dj,attributes.Music.jukebox,attributes.Music.karaoke,attributes.Music.live,attributes.Music.video,attributes.NoiseLevel,attributes.Open24Hours,attributes.OrderatCounter,attributes.OutdoorSeating,attributes.PriceRange,attributes.Smoking,attributes.Takeout,attributes.TakesReservations,attributes.WaiterService,attributes.WheelchairAccessible,attributes.WiFi,attributes.Parking.garage,attributes.Parking.lot,attributes.Parking.street,attributes.Parking.valet,attributes.Parking.validated,hours.Friday.close,hours.Friday.open,hours.Monday.close,hours.Monday.open,hours.Saturday.close,hours.Saturday.open,hours.Sunday.close,hours.Sunday.open,hours.Thursday.close,hours.Thursday.open,hours.Tuesday.close,hours.Tuesday.open,hours.Wednesday.close,hours.Wednesday.open,avg_review_stars,reviews_count,tip_count,checkin_count
43,"{'Price Range': 3, 'Accepts Credit Cards': True, 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': True, 'street': False}}",kEd1RkFwdyhSQe82c_ixfw,"['Food', 'Specialty Food', 'Candy Stores', 1]",Tempe,"{'Tuesday': {'close': '22:00', 'open': '11:00'}, 'Friday': {'close': '23:30', 'open': '11:00'}, 'Saturday': {'close': '23:30', 'open': '11:00'}, 'Sunday': {'close': '21:00', 'open': '11:00'}, 'Wednesday': {'close': '22:00', 'open': '11:00'}, 'Thursday': {'close': '22:00', 'open': '11:00'}, 'Monday': {'close': '22:00', 'open': '11:00'}}",33.4329724,-111.9043028,True,13,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,3,2,2,2,2,2,2,0,1,0,0,0,23,11,22,11,23,11,21,11,22,11,22,11,22,11,2.909090909090909,11,1,64
44,"{'Has TV': False, 'Attire': 'casual', 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': False, 'street': False}, 'Good For Groups': True, 'Delivery': False, 'Drive-Thru': True, 'Take-out': True, 'Alcohol': 'none', 'Noise Level': 'average', 'Price Range': 3, 'Ambience': {'classy': False, 'touristy': False, 'casual': False, 'divey': False, 'romantic': False, 'intimate': False, 'hipster': False, 'trendy': False, 'upscale': False}, 'Wi-Fi': 'free', 'Good for Kids': True, 'Good For': {'breakfast': False, 'dinner': False, 'brunch': False, 'dessert': False, 'latenight': False, 'lunch': True}, 'Takes Reservations': False, 'Waiter Service': False, 'Outdoor Seating': True, 'Caters': False, 'Accepts Credit Cards': True}",LtJmxo4ZozEyB8JVwltMkw,"['Burgers', 'Fast Food', 'Restaurants', 1]",Phoenix,{},33.4297449,-112.065708,True,5,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,0,2,0,2,2,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,0,0,2,1,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3.0,5,6,55
45,"{'Good For Groups': False, 'Good for Kids': True, 'Take-out': True, 'Accepts Credit Cards': True, 'Attire': 'casual'}",f1FurDaaizVNfYn_neatXQ,"['Fast Food', 'Sandwiches', 'Restaurants', 1]",Mesa,{},33.378877,-111.8373046,True,4,3.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2.6666666666666665,3,1,12
46,"{'Has TV': False, 'Attire': 'casual', 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': False, 'street': False}, 'Good For Groups': True, 'Delivery': False, 'Drive-Thru': True, 'Take-out': True, 'Alcohol': 'none', 'Noise Level': 'average', 'Price Range': 1, 'Ambience': {'classy': False, 'touristy': False, 'casual': True, 'divey': False, 'romantic': False, 'intimate': False, 'hipster': False, 'trendy': False, 'upscale': False}, 'Wi-Fi': 'no', 'Good for Kids': True, 'Good For': {'breakfast': False, 'dinner': False, 'brunch': False, 'dessert': False, 'latenight': False, 'lunch': False}, 'Takes Reservations': False, 'Waiter Service': False, 'Outdoor Seating': True, 'Caters': True, 'Accepts Credit Cards': True}",7Y1lfzFkwBRoMZKIMMeZMw,"['Fast Food', 'Mexican', 'Restaurants', 1]",Peoria,"{'Tuesday': {'close': '22:00', 'open': '10:00'}, 'Friday': {'close': '22:00', 'open': '10:00'}, 'Saturday': {'close': '22:00', 'open': '10:00'}, 'Sunday': {'close': '22:00', 'open': '10:00'}, 'Wednesday': {'close': '22:00', 'open': '10:00'}, 'Thursday': {'close': '22:00', 'open': '10:00'}, 'Monday': {'close': '22:00', 'open': '10:00'}}",33.7119776,-112.274706,True,23,3.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,2,0,2,1,2,2,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,0,0,2,0,0,0,0,0,0,22,10,22,10,22,10,22,10,22,10,22,10,22,10,3.388888888888889,18,4,43
47,"{'Has TV': True, 'Good For Groups': True, 'Attire': 'casual', 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': True, 'street': False}, 'Dogs Allowed': False, 'Delivery': True, 'Take-out': True, 'Alcohol': 'none', 'Noise Level': 'average', 'Price Range': 1, 'Ambience': {'classy': False, 'touristy': False, 'casual': True, 'divey': False, 'romantic': False, 'intimate': False, 'hipster': False, 'trendy': False, 'upscale': False}, 'Wheelchair Accessible': True, 'Good for Kids': True, 'Good For': {'breakfast': True, 'dinner': False, 'brunch': False, 'dessert': False, 'latenight': False, 'lunch': False}, 'Takes Reservations': True, 'Wi-Fi': 'free', 'Waiter Service': True, 'Outdoor Seating': True, 'Caters': True, 'Accepts Credit Cards': True}",VQmgq4Dwwej5AwnHBmDIAg,"['American (Traditional)', 'Mexican', 'Chinese', 'Restaurants', 1]",Phoenix,"{'Tuesday': {'close': '18:00', 'open': '06:00'}, 'Friday': {'close': '18:00', 'open': '06:00'}, 'Saturday': {'close': '16:00', 'open': '06:00'}, 'Wednesday': {'close': '18:00', 'open': '06:00'}, 'Thursday': {'close': '18:00', 'open': '06:00'}, 'Monday': {'close': '18:00', 'open': '06:00'}}",33.451615,-112.0857246,True,69,4.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,2,0,2,1,2,2,1,2,2,2,2,2,2,2,0,2,1,0,0,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,0,1,0,0,0,18,6,18,6,16,6,25,25,18,6,18,6,18,6,4.475409836065574,61,15,88
48,"{'Good For Groups': True, 'Attire': 'casual', 'Parking': {'garage': True, 'valet': False, 'validated': False, 'lot': False, 'street': True}, 'Smoking': 'outdoor', 'Good for Kids': False, 'Noise Level': 'average', 'Price Range': 2, 'Ambience': {'classy': False, 'touristy': False, 'casual': False, 'divey': False, 'romantic': False, 'intimate': False, 'hipster': False, 'trendy': True, 'upscale': False}, 'Takes Reservations': True, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Coat Check': False, 'Has TV': True, 'Good For Dancing': True, 'Dogs Allowed': True, 'Happy Hour': True, 'Delivery': False, 'Music': {'dj': True}, 'Take-out': True, 'Alcohol': 'full_bar', 'Wi-Fi': 'free', 'Good For': {'breakfast': False, 'dinner': False, 'brunch': True, 'dessert': False, 'latenight': True, 'lunch': False}, 'Waiter Service': True, 'Caters': False, 'Accepts Credit Cards': True}",uwIq5b4uOArJQ1G1AfimiQ,"['Gastropubs', 'Bars', 'Restaurants', 'Sports Bars', 'Nightlife', 1]",Scottsdale,"{'Tuesday': {'close': '02:00', 'open': '11:00'}, 'Friday': {'close': '02:00', 'open': '11:00'}, 'Saturday': {'close': '02:00', 'open': '11:00'}, 'Sunday': {'close': '02:00', 'open': '11:00'}, 'Wednesday': {'close': '02:00', 'open': '11:00'}, 'Thursday': {'close': '02:00', 'open': '11:00'}, 'Monday': {'close': '02:00', 'open': '11:00'}}",33.5012628,-111.9223673,True,46,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1,2,0,2,0,0,2,0,2,2,2,2,2,2,2,1,2,0,1,0,0,1,0,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,0,1,0,0,2,11,2,11,2,11,2,11,2,11,2,11,2,11,3.8378378378378377,37,4,920
49,"{'Has TV': False, 'Attire': 'dressy', 'Good for Kids': False, 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': True, 'street': False}, 'Good For Groups': True, 'Delivery': False, 'Take-out': False, 'Alcohol': 'full_bar', 'Noise Level': 'quiet', 'Price Range': 3, 'Ambience': {'classy': False, 'touristy': False, 'casual': False, 'divey': False, 'romantic': False, 'intimate': True, 'hipster': False, 'trendy': False, 'upscale': False}, 'Wheelchair Accessible': True, 'BYOB/Corkage': 'no', 'Good For': {'breakfast': False, 'dinner': True, 'brunch': False, 'dessert': True, 'latenight': False, 'lunch': False}, 'Takes Reservations': True, 'Wi-Fi': 'no', 'Waiter Service': True, 'Outdoor Seating': True, 'Caters': False, 'Accepts Credit Cards': True}",FOfhEC6rN23RQaUlsR2byw,"['Fondue', 'Restaurants', 1]",Phoenix,"{'Tuesday': {'close': '22:00', 'open': '16:00'}, 'Friday': {'close': '23:00', 'open': '16:00'}, 'Saturday': {'close': '23:00', 'open': '15:00'}, 'Sunday': {'close': '22:00', 'open': '15:00'}, 'Wednesday': {'close': '22:00', 'open': '16:00'}, 'Thursday': {'close': '22:00', 'open': '16:00'}, 'Monday': {'close': '22:00', 'open': '16:00'}}",33.316214,-112.004239,True,179,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,2,2,1,2,0,2,2,0,2,2,2,2,2,2,2,2,2,0,0,1,1,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,2,0,1,1,1,0,0,1,0,0,0,23,16,22,16,23,15,22,15,22,16,22,16,22,16,3.5185185185185186,162,33,454
50,"{'Noise Level': 'average', 'Attire': 'casual', 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': True, 'street': False}, 'Delivery': False, 'Take-out': True, 'Has TV': True, 'Good For Groups': True, 'Price Range': 2, 'Ambience': {'classy': False, 'touristy': False, 'casual': True, 'divey': False, 'romantic': False, 'intimate': False, 'hipster': False, 'trendy': False, 'upscale': False}, 'Wheelchair Accessible': True, 'Good for Kids': True, 'Good For': {'breakfast': False, 'dinner': True, 'brunch': False, 'dessert': False, 'latenight': False, 'lunch': True}, 'Takes Reservations': True, 'Waiter Service': True, 'Alcohol': 'full_bar', 'Outdoor Seating': True, 'Caters': False, 'Accepts Credit Cards': True}",GzxTmQiiTRpdyPxqDOG_wg,"['American (Traditional)', 'Restaurants', 1]",New River,"{'Saturday': {'close': '01:00', 'open': '11:00'}, 'Friday': {'close': '01:00', 'open': '11:00'}, 'Wednesday': {'close': '01:00', 'open': '11:00'}, 'Thursday': {'close': '01:00', 'open': '11:00'}, 'Sunday': {'close': '01:00', 'open': '11:00'}}",33.9037898,-112.1454744,False,18,4.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,2,0,2,0,2,2,0,2,2,2,2,2,2,2,2,2,0,0,0,1,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,0,1,0,0,0,1,11,25,25,1,11,1,11,1,11,25,25,1,11,3.7058823529411766,17,8,25
51,"{'Has TV': True, 'Attire': 'casual', 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': True, 'street': False}, 'Good For Groups': True, 'Delivery': False, 'Take-out': True, 'Alcohol': 'full_bar', 'Noise Level': 'average', 'Price Range': 2, 'Ambience': {'classy': False, 'touristy': False, 'casual': True, 'divey': False, 'romantic': False, 'intimate': False, 'hipster': False, 'trendy': False, 'upscale': False}, 'Wheelchair Accessible': True, 'Good for Kids': True, 'Good For': {'breakfast': False, 'dinner': True, 'brunch': False, 'dessert': False, 'latenight': False, 'lunch': False}, 'Takes Reservations': True, 'Wi-Fi': 'no', 'Waiter Service': True, 'Outdoor Seating': True, 'Caters': True, 'Accepts Credit Cards': True}",k-KhKfLPjBxjSHppWoUyOA,"['Seafood', 'Restaurants', 'Italian', 1]",Mesa,"{'Tuesday': {'close': '21:00', 'open': '15:00'}, 'Friday': {'close': '22:00', 'open': '15:00'}, 'Saturday': {'close': '22:00', 'open': '11:00'}, 'Sunday': {'close': '21:00', 'open': '11:00'}, 'Wednesday': {'close': '21:00', 'open': '15:00'}, 'Thursday': {'close': '21:00', 'open': '15:00'}, 'Monday': {'close': '21:00', 'open': '15:00'}}",33.3846806,-111.6795479,True,67,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0,0,0,0,0,0,0,1,2,0,2,1,2,2,0,2,2,2,2,2,2,2,2,2,0,0,0,1,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,0,0,1,0,0,0,22,15,21,15,22,11,21,11,21,15,21,15,21,15,3.9661016949152543,59,27,255
52,"{'Has TV': True, 'Good For Groups': True, 'Attire': 'casual', 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': False, 'street': True}, 'Dogs Allowed': True, 'Delivery': False, 'Take-out': True, 'Alcohol': 'full_bar', 'Noise Level': 'loud', 'Price Range': 2, 'Ambience': {'classy': False, 'touristy': False, 'casual': True, 'divey': False, 'romantic': False, 'intimate': False, 'hipster': False, 'trendy': False, 'upscale': False}, 'Wheelchair Accessible': True, 'Good for Kids': False, 'Good For': {'breakfast': False, 'dinner': True, 'brunch': False, 'dessert': False, 'latenight': True, 'lunch': False}, 'Takes Reservations': True, 'Wi-Fi': 'free', 'Waiter Service': True, 'Outdoor Seating': True, 'Caters': False, 'Accepts Credit Cards': True}",S8pptjMpmKGKrJ8yAmq-Zg,"['American (New)', 'Restaurants', 1]",Scottsdale,"{'Tuesday': {'close': '00:00', 'open': '11:00'}, 'Friday': {'close': '02:00', 'open': '11:00'}, 'Saturday': {'close': '02:00', 'open': '11:00'}, 'Sunday': {'close': '23:00', 'open': '11:00'}, 'Wednesday': {'close': '00:00', 'open': '11:00'}, 'Thursday': {'close': '00:00', 'open': '11:00'}, 'Monday': {'close': '23:00', 'open': '11:00'}}",33.4987215,-111.9274506,True,170,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,2,0,2,0,2,2,0,2,2,2,2,2,2,2,1,2,0,0,0,1,1,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,1,1,1,1,1,0,0,1,0,0,2,11,23,11,2,11,23,11,0,11,0,11,0,11,3.651898734177215,158,50,3240
53,"{'Delivery': False, 'Attire': 'casual', 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': True, 'street': False}, 'Good for Kids': True, 'Good For Groups': False, 'Price Range': 1, 'Ambience': {'classy': False, 'touristy': False, 'casual': True, 'divey': False, 'romantic': False, 'intimate': False, 'hipster': False, 'trendy': False, 'upscale': False}, 'Takes Reservations': False, 'Drive-Thru': False, 'Outdoor Seating': False, 'Wheelchair Accessible': True, 'BYOB/Corkage': 'no', 'Corkage': False, 'Has TV': True, 'Take-out': True, 'Alcohol': 'none', 'Noise Level': 'average', 'Wi-Fi': 'no', 'BYOB': False, 'Good For': {'breakfast': False, 'dinner': False, 'brunch': False, 'dessert': False, 'latenight': False, 'lunch': True}, 'Waiter Service': False, 'Caters': True, 'Accepts Credit Cards': True}",Tk2dSL0TwQeI_zNJmb442A,"['Restaurants', 'Italian', 1]",Phoenix,"{'Tuesday': {'close': '20:00', 'open': '10:00'}, 'Friday': {'close': '20:00', 'open': '10:00'}, 'Saturday': {'close': '20:00', 'open': '10:00'}, 'Sunday': {'close': '18:00', 'open': '09:00'}, 'Wednesday': {'close': '20:00', 'open': '10:00'}, 'Thursday': {'close': '20:00', 'open': '10:00'}, 'Monday': {'close': '20:00', 'open': '10:00'}}",33.4949943,-112.0473119,True,149,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,1,0,1,2,1,2,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1,0,0,1,0,0,1,0,0,0,20,10,20,10,20,10,18,9,20,10,20,10,20,10,3.6791044776119404,134,37,256
54,"{'Delivery': False, 'Attire': 'dressy', 'Parking': {'garage': False, 'valet': True, 'validated': False, 'lot': True, 'street': False}, 'Smoking': 'outdoor', 'Good for Kids': False, 'Good For Groups': True, 'Price Range': 3, 'Ambience': {'classy': False, 'touristy': False, 'casual': False, 'divey': False, 'romantic': False, 'intimate': False, 'hipster': False, 'trendy': False, 'upscale': False}, 'Takes Reservations': True, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'BYOB/Corkage': 'no', 'Coat Check': True, 'Noise Level': 'loud', 'Good For Dancing': False, 'Happy Hour': True, 'Music': {'video': False, 'dj': False, 'live': True, 'background_music': False, 'jukebox': False, 'karaoke': False}, 'Take-out': True, 'Alcohol': 'full_bar', 'Ages Allowed': 'allages', 'BYOB': False, 'Good For': {'breakfast': False, 'dinner': True, 'brunch': False, 'dessert': False, 'latenight': False, 'lunch': False}, 'Waiter Service': True, 'Caters': True, 'Accepts Credit Cards': True}",QQplckr0yVO-8DSPFpbGBQ,"['Arts & Entertainment', 'Music Venues', 'Dance Clubs', 'Nightlife', 'American (New)', 'Restaurants', 1]",Peoria,"{'Tuesday': {'close': '22:00', 'open': '15:00'}, 'Friday': {'close': '23:00', 'open': '15:00'}, 'Wednesday': {'close': '22:00', 'open': '15:00'}, 'Sunday': {'close': '21:00', 'open': '17:00'}, 'Saturday': {'close': '23:00', 'open': '15:00'}, 'Thursday': {'close': '22:00', 'open': '15:00'}}",33.6371726,-112.2354666,False,37,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,2,0,1,2,1,1,2,0,2,2,2,2,2,2,2,2,2,0,0,0,1,0,0,0,1,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,1,0,3,2,2,1,3,1,1,1,1,1,2,0,1,0,1,0,23,15,25,25,23,15,21,17,22,15,22,15,22,15,3.5277777777777777,36,8,35
55,"{'Price Range': 1, 'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': True, 'street': False}}",wX_yIM9EdgqLaSA7XmlqbA,"['Food', 'Grocery', 'Shopping', 'Drugstores', 1]",Surprise,{},33.6226493,-112.392448,True,11,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,2,2,1,2,0,1,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2.75,8,5,155
56,"{'Price Range': 3, 'Accepts Credit Cards': True, 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': False, 'street': False}}",ZCtZrX-IRmnXjon0OzyKZw,"['Health Markets', 'Food', 'Specialty Food', 1]",Gilbert,"{'Tuesday': {'close': '21:00', 'open': '09:00'}, 'Friday': {'close': '21:00', 'open': '09:00'}, 'Saturday': {'close': '20:00', 'open': '09:00'}, 'Sunday': {'close': '18:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '09:00'}, 'Thursday': {'close': '21:00', 'open': '09:00'}, 'Monday': {'close': '21:00', 'open': '09:00'}}",33.302602741061,-111.742613895096,True,6,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,3,2,2,2,2,2,2,0,0,0,0,0,21,9,21,9,20,9,18,10,21,9,21,9,21,9,4.166666666666667,6,2,18
57,"{'Has TV': False, 'Attire': 'casual', 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': True, 'street': False}, 'Good For Groups': True, 'Delivery': False, 'Drive-Thru': False, 'Take-out': True, 'Alcohol': 'none', 'Noise Level': 'average', 'Price Range': 1, 'Ambience': {'classy': False, 'touristy': False, 'casual': True, 'divey': False, 'romantic': False, 'intimate': False, 'hipster': True, 'trendy': False, 'upscale': False}, 'Wi-Fi': 'no', 'Good for Kids': True, 'Good For': {'breakfast': False, 'dinner': True, 'brunch': False, 'dessert': False, 'latenight': False, 'lunch': True}, 'Takes Reservations': False, 'Waiter Service': False, 'Outdoor Seating': True, 'Caters': True, 'Accepts Credit Cards': True}",bLLYFwl3_CPRsquqUSoneA,"['Burgers', 'Hot Dogs', 'Food Stands', 'Restaurants', 1]",Mesa,"{'Tuesday': {'close': '20:00', 'open': '08:00'}, 'Friday': {'close': '20:00', 'open': '08:00'}, 'Saturday': {'close': '20:00', 'open': '08:00'}, 'Wednesday': {'close': '20:00', 'open': '08:00'}, 'Thursday': {'close': '20:00', 'open': '08:00'}, 'Monday': {'close': '20:00', 'open': '08:00'}}",33.3783069,-111.8611821,False,39,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,1,2,0,2,1,2,2,0,2,2,2,2,2,2,2,2,0,0,0,0,1,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,0,0,2,0,0,1,0,0,0,20,8,20,8,20,8,25,25,20,8,20,8,20,8,4.27027027027027,37,15,72
58,"{'Price Range': 1, 'Waiter Service': False}",GN9BLeYPyU1uh3hvAdY7mA,"['Fast Food', 'Sandwiches', 'Restaurants', 1]",Glendale,{},33.5670857,-112.1680809,True,3,1.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.6666666666666667,3,2,7
59,"{'Outdoor Seating': True, 'Price Range': 1, 'Wi-Fi': 'free', 'Accepts Credit Cards': True, 'Parking': {'garage': False, 'valet': False, 'validated': False, 'lot': False, 'street': False}}",FIXe1CImoR3ldHvMGKObTQ,"['Food', 'Coffee & Tea', 1]",Phoenix,"{'Tuesday': {'close': '21:00', 'open': '04:30'}, 'Friday': {'close': '21:00', 'open': '04:30'}, 'Saturday': {'close': '21:00', 'open': '04:30'}, 'Sunday': {'close': '20:30', 'open': '05:00'}, 'Wednesday': {'close': '21:00', 'open': '04:30'}, 'Thursday': {'close': '21:00', 'open': '04:30'}, 'Monday': {'close': '21:00', 'open': '04:30'}}",33.6706035079394,-112.117887686508,True,7,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,2,2,2,2,2,1,0,0,0,0,0,21,4,21,4,21,4,20,5,21,4,21,4,21,4,4.857142857142857,7,1,21
60,"{'Good For Groups': True, 'Price Range': 1, 'Take-out': True, 'Good For': {'breakfast': False, 'dinner': False, 'brunch': False, 'dessert': False, 'latenight': False, 'lunch': False}, 'Takes Reservations': False, 'Good for Kids': True, 'Drive-Thru': True, 'Outdoor Seating': False, 'Delivery': False, 'Accepts Credit Cards': True, 'Attire': 'casual'}",FBr0VLYwiuy-LhSPQIKsAA,"['Burgers', 'Fast Food', 'Restaurants', 1]",Phoenix,{},33.4947399604998,-112.083577407961,True,6,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,1,2,1,0,2,2,2,2,2,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.8,5,2,66
